intro,ranking,score,movie_name
,1,9.6,肖申克的救赎
,2,9.5,霸王别姬
,3,9.4,这个杀手不太冷
,4,9.4,阿甘正传
,5,9.5,美丽人生
,6,9.2,千与千寻
,7,9.2,泰坦尼克号
,8,9.4,辛德勒的名单
,9,9.3,盗梦空间
,10,9.3,机器人总动员
,11,9.2,海上钢琴师
,12,9.2,三傻大闹宝莱坞
,13,9.2,忠犬八公的故事
,14,9.2,放牛班的春天
,15,9.2,大话西游之大圣娶亲
,16,9.2,教父
,17,9.1,龙猫
,18,9.1,楚门的世界
,19,9.2,熔炉
,20,9.2,乱世佳人
,21,9.1,触不可及
,22,9.2,星际穿越
,23,9.0,无间道
,24,8.9,当幸福来敲门
,25,9.1,天堂电影院
,26,8.9,怦然心动
,27,9.4,十二怒汉
,28,9.0,搏击俱乐部
,29,9.0,少年派的奇幻漂流
,30,9.1,指环王3：王者无敌
,31,9.2,鬼子来了
,32,9.0,蝙蝠侠：黑暗骑士
,33,9.1,活着
,34,9.0,天空之城
,35,8.9,罗马假日
,36,8.9,大话西游之月光宝盒
,37,8.9,飞屋环游记
,38,9.1,两杆大烟枪
,39,9.1,窃听风暴
,40,9.2,疯狂动物城
,41,9.0,飞越疯人院
,42,9.6,控方证人
,43,8.9,闻香识女人
,44,9.3,海豚湾
,45,8.9,哈尔的移动城堡
,46,8.8,V字仇杀队
,47,9.1,辩护人
,48,9.1,教父2
,49,8.9,死亡诗社
,50,8.9,美丽心灵
,51,9.0,指环王2：双塔奇兵
,52,8.9,指环王1：魔戒再现
,53,8.8,情书
,54,9.1,饮食男女
,55,9.1,美国往事
,56,8.7,天使爱美丽
,57,8.9,狮子王
,58,9.0,钢琴家
,59,8.7,七宗罪
,60,8.9,被嫌弃的松子的一生
,61,9.2,小鞋子
,62,8.8,致命魔术
,63,9.1,素媛
,64,8.8,勇敢的心
,65,8.9,音乐之声
,66,9.1,摔跤吧！爸爸
,67,8.7,剪刀手爱德华
,68,8.7,本杰明·巴顿奇事
,69,8.8,低俗小说
,70,8.7,西西里的美丽传说
,71,8.8,黑客帝国
,72,8.9,拯救大兵瑞恩
,73,8.7,沉默的羔羊
,74,8.8,看不见的客人
,75,8.8,入殓师
,76,8.7,蝴蝶效应
,77,8.9,玛丽和马克思
,78,8.7,让子弹飞
,79,8.8,春光乍泄
,80,9.2,大闹天宫
,81,8.8,心灵捕手
,82,8.8,幽灵公主
,83,8.8,阳光灿烂的日子
,84,8.8,第六感
,85,8.9,末代皇帝
,86,8.7,重庆森林
,87,8.6,禁闭岛
,88,8.7,大鱼
,89,9.0,狩猎
,90,8.7,射雕英雄传之东成西就
,91,8.8,布达佩斯大饭店
,92,8.8,甜蜜蜜
,93,8.6,致命ID
,94,8.7,哈利·波特与魔法石
,95,8.9,一一
,96,8.8,阳光姐妹淘
,97,8.7,告白
,98,8.6,断背山
,99,8.9,上帝之城
,100,8.7,猫鼠游戏
,101,8.6,加勒比海盗
,102,9.2,摩登时代
,103,8.6,阿凡达
,104,8.7,爱在黎明破晓前
,105,8.9,穿条纹睡衣的男孩
,106,8.8,风之谷
,107,8.7,爱在日落黄昏时
,108,8.7,消失的爱人
,109,8.8,侧耳倾听
,110,8.8,超脱
,111,8.6,倩女幽魂
,112,8.9,红辣椒
,113,8.7,萤火虫之墓
,114,8.7,驯龙高手
,115,8.7,恐怖直播
,116,8.7,菊次郎的夏天
,117,8.6,幸福终点站
,118,8.6,岁月神偷
,119,8.7,借东西的小人阿莉埃蒂
,120,9.2,七武士
,121,8.5,神偷奶爸
,122,8.9,小森林 夏秋篇
,123,9.0,海洋
,124,8.5,喜剧之王
,125,8.5,真爱至上
,126,8.6,杀人回忆
,127,8.7,电锯惊魂
,128,8.7,谍影重重3
,129,8.5,贫民窟的百万富翁
,130,8.6,雨人
,131,8.6,东邪西毒
,132,8.5,记忆碎片
,133,8.8,喜宴
,134,8.6,怪兽电力公司
,135,8.7,疯狂原始人
,136,8.7,燃情岁月
,137,8.5,黑天鹅
,138,8.9,虎口脱险
,139,8.7,英雄本色
,140,8.8,卢旺达饭店
,141,8.5,恋恋笔记本
,142,8.4,傲慢与偏见
,143,8.5,猜火车
,144,8.8,魂断蓝桥
,145,8.7,7号房的礼物
,146,8.6,穿越时空的少女
,147,8.8,教父3
,148,8.7,萤火之森
,149,8.6,哈利·波特与死亡圣器(下)
,150,8.6,海边的曼彻斯特
,151,9.0,完美的世界
,152,8.7,纵横四海
,153,8.9,雨中曲
,154,8.8,玩具总动员3
,155,8.9,小森林 冬春篇
,156,8.8,荒蛮故事
,157,8.5,花样年华
,158,8.8,二十二
,159,8.8,我是山姆
,160,8.4,唐伯虎点秋香
,161,8.6,超能陆战队
,162,8.6,时空恋旅人
,163,8.6,人工智能
,164,8.7,浪潮
,165,8.4,冰川时代
,166,8.6,蝙蝠侠：黑暗骑士崛起
,167,8.4,香水
,168,8.5,朗读者
,169,8.6,心迷宫
,170,8.7,罗生门
,171,8.9,追随
,172,8.7,一次别离
,173,8.6,撞车
,174,8.6,爆裂鼓手
,175,8.8,未麻的部屋
,176,8.7,可可西里
,177,8.5,战争之王
,178,8.8,地球上的星星
,179,8.7,梦之安魂曲
,180,8.3,恐怖游轮
,181,8.6,达拉斯买家俱乐部
,182,8.5,阿飞正传
,183,8.5,被解救的姜戈
,184,8.7,牯岭街少年杀人事件
,185,8.5,谍影重重2
,186,8.5,谍影重重
,187,8.7,碧海蓝天
,188,8.5,魔女宅急便
,189,8.9,惊魂记
,190,9.0,忠犬八公物语
,191,8.3,秒速5厘米
,192,8.5,再次出发之纽约遇见你
,193,8.4,青蛇
,194,8.6,海盗电台
,195,8.9,哪吒闹海
,196,9.2,东京物语
,197,8.7,头脑特工队
,198,8.7,绿里奇迹
,199,8.7,血战钢锯岭
,200,8.7,末路狂花
,201,8.8,房间
,202,8.5,勇闯夺命岛
,203,8.6,终结者2：审判日
,204,8.3,源代码
,205,8.5,这个男人来自地球
,206,8.5,新龙门客栈
,207,8.6,卡萨布兰卡
,208,8.5,黑客帝国3：矩阵革命
,209,8.5,模仿游戏
,210,8.6,荒野生存
,211,9.1,迁徙的鸟
,212,8.4,变脸
,213,9.2,城市之光
,214,8.5,E.T. 外星人
,215,8.4,美国丽人
,216,8.4,发条橙
,217,9.1,黄金三镖客
,218,8.4,无耻混蛋
,219,8.3,初恋这件小事
,220,8.4,英国病人
,221,8.6,燕尾蝶
,222,8.7,一个叫欧维的男人决定去死
,223,8.8,爱在午夜降临前
,224,8.6,叫我第一名
,225,8.6,非常嫌疑犯
,226,8.3,穆赫兰道
,227,8.9,勇士
,228,8.4,你的名字。
,229,8.6,无敌破坏王
,230,8.6,上帝也疯狂
,231,8.2,疯狂的石头
,232,8.3,国王的演讲
,233,9.0,无人知晓
,234,8.5,血钻
,235,8.8,步履不停
,236,8.3,蓝色大门
,237,8.6,枪火
,238,8.6,大卫·戈尔的一生
,239,9.0,爱·回家
,240,8.4,彗星来的那一夜
,241,8.5,遗愿清单
,242,9.0,我爱你
,243,8.7,千钧一发
,244,8.5,荒岛余生
,245,8.5,麦兜故事
,246,8.9,请以你的名字呼唤我
,247,8.4,暖暖内含光
,248,8.3,曾经
,249,8.5,月球
,250,8.6,蝴蝶
